LEVEL 0
LEVEL 228
LEVEL 417
	0    100  0.0
LEVEL 1058
	228  100  0.0
LEVEL 1759
	417  98.0 0.1
	1058 2.03 0.06
LEVEL 1851
	228  99.3  .2
	417  .67   .09
LEVEL 2069
	0	31	1
	417	69	1
LEVEL 2070
	228	3.0	0.4
	417	21.4	0.8
	1058	75.4	0.9
LEVEL 2072
	228	89.4	0.9
	417	10.6	0.9
	1851	0.04	0.01
LEVEL 2365
	0	.89	.04
	417	33	1.0
	1058	13.7	.4
	1759	1.48	.05
	2070	51	1
LEVEL 2545
	0	.21	.06
	417	26	1
	1058	2.5	.2
	1759	3.3	.2
	2070	68	1
LEVEL 2661
	417	61	2.0
	1058	9.0	0.3
	1759	.62	.05
	1851	1.5	0.2
	2070	25	1.0
	2072	3.4	0.8
LEVEL 2740
	228	99.2	0.2
	417	0.8	0.2
LEVEL 2913
	417	29.6	0.9
	1058	.79	.04
	1759	.79	.04
	1851	1.05	.04
	2070	67.8	.9
LEVEL 3074
	0	.79	.09
	417	0.5	0.2
	1058	12.3	0.4
	1759	0.37	.04
	1851	2.69	.05
	2070	83.4	0.5
LEVEL 3160
	228	.44	.05
	417	63.7	0.7
	1058	16.4	.5
	1759	14.7	.4
	1851	.35	.03
	2072	2.71	.08
	2365	.22	.05
	2545	1.45	.05
LEVEL 3403
	0	37	1
	417	57	1
	2069	5.3	.2
	2365	.48	.06
LEVEL 3508
	0	99.7	.1
	2069	0.32	.07
LEVEL 3596
	0	3.7	.2
	417	.18	.04
	1058	3.2	.1
	1851	.98	.06
	2070	92.0	.2
LEVEL 3675
	0	4.4	.2
	417	57.1	.9
	1759	27.4	0.8
	2069	1.0	.1
	2365	8.1	.4
	2545	2.0	.2
LEVEL 3681
	0	.72	.7
	417	1.65	.07
	1058	2.6	.2
	1759	1.15	.06
	1851	.18	.04
	2070	93.3	0.2
	2913	.12	.05
	3160	.26	.04
LEVEL 3724
	228	99.2	.1
	1058	.44	.09
	2661	.35	.09
LEVEL 3751
	417	6.2	0.8
	1058	9.6	0.3
	1759	.19	.06
	1851	.27	.07
	2070	69	2
	2365	.13	.07
	2913	.39	.07
LEVEL 3754
	1058	86.0	.4
	1851	2.6	.3
	2072	9.5	.2
	2740	1.9	.2
LEVEL 3922
	0	100	0.0
LEVEL 3963
	0	5.5	.3
	417	3.9	.3
	1058	11.1	0.4
	1759	2.2	.3
	1851	1.6	.2
	2070	70	1
	2365	3.4	.3
	2661	1.5	.7
	2740	0.5	.2
LEVEL 3978
	1058	37	1
	1851	62	1
	2072	0.9	.2
LEVEL 4192
	0	.24	.06
	417	58.8	.9
	1759	3.9	.2
	2069	23.9	.7
	2365	9.3	.5
	2545	2.1	.1
	2661	0.5	.2
	2913	.39	.04
	3596	0.88	.07
LEVEL 4206
	0	2.9	.2
	417	66	1
	1759	1.10	.07
	2069	10.6	.7
	2365	6.8	.05
	2545	3.2	.2
	2661	8.1	.5
	2913	.63	.05
	3074	.52	.03
	3675	.04	.01
LEVEL 4349
	0	.6	.1
	417	2.6	.6
	1058	1.8	.2
	1759	.80	.09
	2070	94.2	.6
LEVEL 4431
	417	29	3
	1058	0.7	.2
	1759	2.9	.6
